pl_rade,pl_bmasse,st_teff,pl_eqt,st_mass,sy_dist,st_met
2.08,7.81,5234.0,1958.0,0.905,12.5855,0.31
2.23,16.3,5766.0,546.0,0.961,179.461,-0.15
21.59,3932.0,6935.0,2001.0,1.41,589.423,-0.34
12.44196858,2002.3189641,3406.0,434.0,0.37,10.8864,0.0
17.385159,327.3649,5950.0,1915.0,0.95,787.909,-0.3
16.7,327.35,5950.0,1898.0,0.95,787.909,-0.3
10.87,874.0,5075.0,600.0,0.89,338.386,0.26
10.547669,883.5674,5075.0,647.0,0.904,338.386,0.26
15.984034,743.7222,6440.0,1735.0,1.26,655.037,-0.03
16.03,740.51,6440.0,1657.0,1.27,655.037,-0.03
15.13215,281.91521,5675.0,1410.0,1.018,1126.37,0.16
16.14,291.438,5675.0,1442.0,1.078,1126.37,0.16
14.033668,416.99296,5945.0,1432.0,1.086,1148.93,0.01
9.92,415.704,5945.0,1700.0,1.09,1148.93,0.01
11.410762,2437.7561,6035.0,1936.0,1.125,1744.6,0.05
12.22,2415.4,6035.0,1952.0,1.13,1744.6,0.05
11.43,772.29,5740.0,1626.0,1.04,1176.12,0.0
11.287463,781.8618,5740.0,1610.0,1.043,1176.12,0.0
14.68,1102.82,5440.0,1550.0,0.95,764.889,-0.1
14.022459,1039.3041,5440.0,1490.0,0.861,764.889,-0.1
14.46,352.78,6090.0,2000.0,1.21,790.663,-0.02
13.33871,346.4347,6090.0,1630.0,1.181,790.663,-0.02
15.849526,1052.0173,5625.0,1535.0,0.97,213.283,0.0
16.36514,1134.6531,5598.0,1521.0,0.997,213.283,0.04
16.47723,1150.5446,5696.0,1548.0,1.018,213.283,0.03
13.00244,1608.2198,5880.0,1100.0,1.11,844.061,0.14
9.42,1347.54,5880.0,1002.0,1.14,844.061,0.14
4.88,12.2,5939.0,885.0,1.099,627.158,0.17
13.22662,972.5598,5900.0,1710.0,1.122,1060.97,0.05
11.77,889.9,5900.0,1660.0,1.14,1060.97,0.05
3.7,5.7,4950.0,1070.0,0.91,591.555,0.3
5.0,28.0,4950.0,850.0,0.91,591.555,0.3
12.11,85.81,6040.0,1330.0,1.09,1103.48,-0.01
14.12,165.26,5590.0,1600.0,1.09,1045.18,0.01
11.287,3302.11,5900.0,1500.0,1.05,1010.28,-0.1
11.623733,6979.5468,6740.0,1695.0,1.403,768.771,-0.02
18.83108758,349.6112477,6390.0,1747.0,1.01,1123.21,-0.5
15.80466279,216.12331676,6730.0,1567.0,1.32,925.958,-0.1
13.00244,232.33373,6190.0,1058.0,1.194,726.412,0.05
15.558,148.42,6100.0,1438.0,1.0,882.472,-0.25
13.249038,149.3801,6100.0,1348.0,1.025,882.472,-0.25
13.282665,940.7768,6090.0,1025.0,1.054,645.294,-0.2
13.068,940.74,6090.0,1017.0,1.05,645.294,-0.2
1.860694,6.99226,5250.0,1910.0,0.884,159.906,0.12
1.585,5.74,5259.0,1756.0,0.913,159.906,0.138
7.980808,68.65128,5080.0,922.0,0.878,322.037,0.31
11.623733,262.52758,5625.0,413.0,0.96,412.98,-0.01
11.948794,266.9772,5625.0,420.0,0.96,412.98,-0.01
6.38913,47.6745,5970.0,938.0,1.08,576.683,0.0
1.565,7.67,5679.0,2038.0,0.958,232.1,0.01
6.12,27.0,6025.0,886.35,1.18,181.69,0.1
1.82,9.0,5496.0,2063.0,0.92,244.59,0.06
1.52,8.36,5470.0,2333.0,0.945,244.59,-0.025
1.725,8.21,5532.0,2300.0,0.95,244.59,0.11
1.676,7.8,5578.0,2299.0,0.913,244.59,-0.005
2.836,8.9,5532.0,805.0,0.95,244.59,0.11
2.77,5.7,5496.0,722.0,0.92,244.59,0.06
2.5,5.8,5470.0,774.0,0.945,244.59,-0.025
2.84,7.32,5578.0,804.0,0.913,244.59,-0.005
2.332,10.4,5868.0,804.0,0.97,121.971,-0.12
11.780659,953.49,6202.0,1401.0,1.317,372.632,0.141
12.44199,4131.79,4898.0,183.0,0.9,551.886,-0.23
1.95,8.75,5430.0,1616.0,1.05,321.296,0.2
3.67,14.67,5430.0,990.0,1.05,321.296,0.2
3.94,10.18,5430.0,752.0,1.05,321.296,0.2
1.9,4.0,3395.0,440.6,0.2952,27.9276,-0.07
2.025,11.7,3348.0,456.0,0.29,27.9276,0.04
1.16,1.62,3270.0,409.0,0.181,12.613,-0.12
1.19151465,1.83704819,3229.0,583.8,0.1945,12.613,-0.17
2.733,8.41,3101.0,567.0,0.182,14.6427,0.24
2.742,8.17,3250.0,596.0,0.178,14.6427,0.29
1.193,2.09,3458.0,1089.0,0.381,20.373,0.1
2.61,22.7,4640.0,422.0,0.73,16.32,0.003
2.13,3.34,3556.0,693.0,0.519,22.4751,-0.06
3.88,12.58,3652.0,615.0,0.51,29.4214,0.2
4.57,13.9,3600.0,593.5,0.539,29.4214,0.2
3.88,13.73,3652.0,604.0,0.51,29.4214,0.18
1.264,1.86,3347.0,773.0,0.36,27.3644,0.11
1.217,1.84,3505.0,525.0,0.342,9.44181,-0.12
0.699,0.633,3522.0,1365.0,0.455,9.41263,-0.01
0.718,0.546,3522.0,1745.0,0.454,9.41263,-0.01
1.09,1.75,3384.0,568.0,0.313,15.8095,-0.02
1.15,1.21,3369.0,568.8,0.309,15.8095,0.0
2.63,7.6,4120.0,308.6,0.65,11.8893,0.24
8.4,53.83,4120.0,124.7,0.65,11.8893,0.24
4.091285,23.424071,3500.0,669.0,0.459,9.75321,-0.03
4.2224,23.1688,3350.0,649.0,0.452,9.75321,-0.03
1.343,3.0,3291.0,706.0,0.333,8.07426,-0.15
1.305,2.82,3340.0,701.0,0.323,8.07426,0.07
1.289,2.77,3317.0,696.3,0.312,8.07426,-0.15
1.331,1.9,3600.0,940.0,0.413,12.0445,-0.28
1.44,4.28,4236.0,1035.01,0.62,29.661,-0.29
1.58,3.69,4219.0,1114.0,0.637,29.661,-0.29
1.577,5.14,4305.0,1175.0,0.606,29.661,-0.26
1.62,3.42,4269.0,1172.0,0.614,29.661,-0.5
1.24,1.45,4219.0,771.0,0.637,29.661,-0.29
1.13,1.86,4236.0,715.94,0.62,29.661,-0.29
1.269,2.42,4269.0,811.0,0.614,29.661,-0.5
1.241,1.3,4305.0,813.0,0.606,29.661,-0.26
1.98,3.02,4236.0,675.0,0.62,29.661,-0.29
2.07,5.2,4269.0,680.0,0.614,29.661,-0.5
1.89,3.02,4236.0,599.68,0.62,29.661,-0.29
2.022,3.53,4305.0,681.0,0.606,29.661,-0.26
2.04,2.35,4219.0,646.0,0.637,29.661,-0.29
16.47720163,6261.2196179,7000.0,2300.0,1.68,655.013,0.35
0.958,3.87,3296.0,314.6,0.2414,12.21,-0.32
0.9,10.0,3253.0,315.0,0.241,12.21,-0.29
13.921578,169.08556,5975.0,1306.0,1.133,158.979,0.13
14.784671,166.86075,5980.0,1322.0,1.151,158.979,0.13
13.641353,166.54292,5975.0,1291.0,1.134,158.979,0.13
14.79588,168.4499,6051.18,1320.0,1.126,158.979,0.1578
4.73,25.743,4780.0,878.0,0.81,37.7647,0.31
4.449973,26.69772,4780.0,838.0,0.812,37.7647,0.31
4.901,25.0,4780.0,847.0,0.86,37.7647,0.31
10.637341,67.06213,4650.0,975.0,0.733,142.751,-0.29
10.76064,66.7443,4652.87,960.0,0.74,142.751,-0.0632
10.301071,63.88383,4665.0,955.0,0.691,142.751,-0.2
10.749,67.059,4650.0,963.0,0.733,142.751,-0.29
14.359,271.098,5653.0,1653.0,1.22,246.81,0.41
13.4508,724.6524,6583.0,1612.0,1.32,222.663,0.08
12.89,709.367,6600.0,1570.0,1.386,222.663,0.11
13.663771,721.79193,6600.0,1624.0,1.418,222.663,0.11
12.016,618.471,5568.0,904.0,1.013,192.516,0.22
14.448,1332.605,6158.0,1626.0,1.218,226.637,0.17
11.321,169.71,5246.0,792.0,0.857,92.3831,0.0
11.153,62.61,4803.0,852.0,0.77,161.4,0.1
10.614923,62.29468,4870.0,841.0,0.77,161.4,0.1
11.29865255,88.03846874,4962.0,981.2,0.807,202.078,0.166
12.689,92.802,4990.0,1010.0,0.842,202.078,0.23
11.242627,2771.4776,6290.0,1398.0,1.308,127.774,0.12
13.33871,2777.8342,6290.0,1516.0,1.279,127.774,0.14
12.969,2888.95,6290.0,1540.0,1.36,127.774,0.14
9.718,2302.899,4595.0,970.0,0.756,71.0374,0.35
11.489225,2294.7326,4595.0,964.0,0.742,71.0374,0.22
11.478,1291.289,5588.0,1283.0,0.947,277.278,0.01
12.106,682.352,5302.0,1283.0,0.916,81.7647,0.24
11.88154,696.68336,5314.0,1293.0,0.936,81.7647,0.3
15.334,664.237,5905.0,2056.0,1.13,364.813,0.15
13.72,658.0,5885.0,1951.0,1.104,364.813,0.13
13.922,217.704,6373.0,1637.0,1.191,415.344,-0.16
13.339,180.202,5500.0,1202.0,1.01,300.384,0.31
12.722215,180.84527,5519.0,1182.0,1.012,300.384,0.294
6.333,18.751,5079.0,1001.0,0.816,141.837,-0.04
13.585,198.953,5680.0,1384.0,1.025,401.319,0.12
11.926376,243.77561,6115.0,1271.0,1.199,313.576,0.128
12.408,247.261,6087.0,1260.0,1.207,313.576,0.21
10.076891,189.42668,5185.0,1127.0,0.928,134.554,0.27
10.614923,185.61272,5185.0,1189.0,0.9,134.554,0.27
10.211399,189.10885,5190.0,1170.0,0.925,134.554,0.24
15.02,225.968,6304.0,1630.0,1.242,213.985,0.13
